step,train_auc,dev_auc,test_auc
145,0.24171708102184308,0.20889777749113517,0.23233139657210322
290,0.24317707749213663,0.19437710755803922,0.22772068309346116
435,0.24691926491732683,0.2036358401598381,0.2324713722717751
580,0.24707858991040882,0.21973224237817096,0.22965033744684693
